Image name,Image url link,Image url link,Image,Page_type_1,Page_type_2,colour,Pagenumber,illustration_type_1,instances_of_1,illustration_type_2,instances_of_2,illustration_type_3,instances_of_3,illustration_type_4,instances_of_4,illustration_type_5,instances_of_5,translation
uni-ucl-jud-0015042-001-0013L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0013L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0013L.jpg,,Chapter page,,monochrome,,Illuminated lettering,1,Rubricated text,1,,,,,,,
uni-ucl-jud-0015042-001-0014R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0014R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0014R.jpg,,Chapter page,,monochrome,,Illuminated lettering,1,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,
uni-ucl-jud-0015042-001-0015L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0015L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0015L.jpg,,Chapter page,,monochrome,,Illuminated lettering,1,Rubricated text,1,,,,,,,
uni-ucl-jud-0015042-001-0016R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0016R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0016R.jpg,,Chapter page,,monochrome,B,Illuminated lettering,1,Rubricated text,1,,,,,,,
uni-ucl-jud-0015042-001-0017L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0017L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0017L.jpg,,Chapter page,,monochrome,,Illuminated lettering,1,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,
uni-ucl-jud-0015042-001-0018R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0018R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0018R.jpg,,Chapter page,,monochrome,Bii,Illuminated lettering,1,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,
uni-ucl-jud-0015042-001-0019L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0019L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0019L.jpg,,Chapter page,,monochrome,,Illuminated lettering,1,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,
uni-ucl-jud-0015042-001-0020R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0020R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0020R.jpg,,Chapter page,,monochrome,Biii,Illuminated lettering,1,Rubricated text,1,,,,,,,
uni-ucl-jud-0015042-001-0021L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0021L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0021L.jpg,,None,,monochrome,,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,,,
uni-ucl-jud-0015042-001-0022R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0022R.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0022R.jpg,,Chapter page,,monochrome,Biiii,Illuminated lettering,1,Manuscript (i.e. handwritten) marginalia and other annotation,1,Rubricated text,1,,,,,
uni-ucl-jud-0015042-001-0023L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0023L.jpg,https://lrfhec.maxcommunications.co.uk/LRF/JUDAICA/IMAGES/20240807/uni-ucl-jud-0015042/uni-ucl-jud-0015042-001/uni-ucl-jud-0015042-001-0023L.jpg,,Chapter page,,monochrome,,Illuminated lettering,1,Manuscript (i.e. handwritten) marginalia and other annotation,1,,,,,,,
