Image name,Page_type_1,Page_type_2,colour,Pagenumber,illustration_type_1,instances_of_1,illustration_type_2,instances_of_2,illustration_type_3,instances_of_3,illustration_type_4,instances_of_4,illustration_type_5,instances_of_5
uni-ucl-jud-0015053-002-0036L.jpg,None,,monochrome,36,,,,,,,,,,
uni-ucl-jud-0015053-002-0037R.jpg,Chapter page,,monochrome,37|C3,Illuminated lettering,1,,,,,,,,
uni-ucl-jud-0015053-002-0038L.jpg,None,,monochrome,38,,,,,,,,,,
uni-ucl-jud-0015053-002-0039R.jpg,None,,monochrome,39|C4,,,,,,,,,,
uni-ucl-jud-0015053-002-0040L.jpg,None,,monochrome,40,,,,,,,,,,
uni-ucl-jud-0015053-002-0041R.jpg,None,,monochrome,41|C5,,,,,,,,,,
uni-ucl-jud-0015053-002-0042L.jpg,Chapter page,,monochrome,42,,,,,,,,,,
uni-ucl-jud-0015053-002-0043R.jpg,None,,monochrome,43,,,,,,,,,,
uni-ucl-jud-0015053-002-0044L.jpg,None,,monochrome,44,,,,,,,,,,
uni-ucl-jud-0015053-002-0045R.jpg,None,,monochrome,45,,,,,,,,,,
uni-ucl-jud-0015053-002-0046L.jpg,Chapter page,,monochrome,46,,,,,,,,,,
uni-ucl-jud-0015053-002-0047R.jpg,None,,monochrome,47,,,,,,,,,,
uni-ucl-jud-0015053-002-0048L.jpg,None,,monochrome,48,,,,,,,,,,
uni-ucl-jud-0015053-002-0049R.jpg,None,,monochrome,49|D,,,,,,,,,,
uni-ucl-jud-0015053-002-0050L.jpg,Chapter page,,monochrome,50,,,,,,,,,,
uni-ucl-jud-0015053-002-0051R.jpg,None,,monochrome,51|D2,,,,,,,,,,
uni-ucl-jud-0015053-002-0052L.jpg,Chapter page,,monochrome,52,,,,,,,,,,
uni-ucl-jud-0015053-002-0053R.jpg,None,,monochrome,53|D3,,,,,,,,,,
uni-ucl-jud-0015053-002-0054L.jpg,None,,monochrome,54,,,,,,,,,,
uni-ucl-jud-0015053-002-0055R.jpg,None,,monochrome,55|D4,,,,,,,,,,
uni-ucl-jud-0015053-002-0056L.jpg,Chapter page,,monochrome,56,,,,,,,,,,
uni-ucl-jud-0015053-002-0057R.jpg,None,,monochrome,57|D5,,,,,,,,,,
uni-ucl-jud-0015053-002-0058L.jpg,None,,monochrome,58,,,,,,,,,,
uni-ucl-jud-0015053-002-0059R.jpg,None,,monochrome,69,,,,,,,,,,
uni-ucl-jud-0015053-002-0060L.jpg,None,,monochrome,60,,,,,,,,,,
uni-ucl-jud-0015053-002-0061R.jpg,None,,monochrome,61,,,,,,,,,,
uni-ucl-jud-0015053-002-0062L.jpg,Chapter page,,monochrome,62,,,,,,,,,,
uni-ucl-jud-0015053-002-0063R.jpg,None,,monochrome,63,,,,,,,,,,
uni-ucl-jud-0015053-002-0064L.jpg,None,,monochrome,64,,,,,,,,,,
uni-ucl-jud-0015053-002-0065R.jpg,None,,monochrome,65|E,,,,,,,,,,
uni-ucl-jud-0015053-002-0066L.jpg,None,,monochrome,66,,,,,,,,,,
